feature,mean_delta_cindex,std_delta_cindex
pnodes,0.06193586577373471,0.020715680056388026
tgrade=III,0.05350544000989756,0.03512426140648453
progrec,0.046276820627130386,0.015265537090033013
tgrade=II,0.04107785987471846,0.02023337287287271
age,0.011585051253813839,0.008930862080794653
horTh=yes,0.011284652492897073,0.014698456344105435
menostat=Post,0.004588401863275737,0.007937743937497767
tsize,0.003010272550165327,0.008863732888165488
estrec,0.0014653763385979346,0.0027776875789510985
